         339828 function calls (339825 primitive calls) in 0.367 seconds

   Ordered by: cumulative time
   List reduced from 90 to 35 due to restriction <35>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.002    0.002    0.367    0.367 benchmark.py:213(operation)
        3    0.092    0.031    0.354    0.118 factor.py:218(build_forward_labels)
    18000    0.004    0.000    0.123    0.000 <frozen _collections_abc>:804(get)
    18000    0.022    0.000    0.119    0.000 columnar_series.py:41(__getitem__)
      6/3    0.000    0.000    0.077    0.026 functools.py:982(__get__)
        2    0.022    0.011    0.073    0.037 columnar_series.py:61(__init__)
    12004    0.005    0.000    0.048    0.000 fromnumeric.py:1459(searchsorted)
        6    0.000    0.000    0.046    0.008 serialization.py:8(canonical_json_bytes)
        6    0.000    0.000    0.046    0.008 __init__.py:183(dumps)
        6    0.000    0.000    0.046    0.008 encoder.py:183(encode)
        6    0.046    0.008    0.046    0.008 encoder.py:205(iterencode)
    12000    0.016    0.000    0.045    0.000 columnar_series.py:108(position)
    12022    0.005    0.000    0.044    0.000 fromnumeric.py:48(_wrapfunc)
        1    0.000    0.000    0.040    0.040 columnar_series.py:332(execution_prices)
        1    0.000    0.000    0.039    0.039 columnar_series.py:261(_eod_index)
        1    0.000    0.000    0.037    0.037 columnar_series.py:340(trading_states)
        1    0.000    0.000    0.036    0.036 columnar_series.py:270(_trading_state_index)
    12004    0.035    0.000    0.035    0.000 {method 'searchsorted' of 'numpy.ndarray' objects}
       32    0.030    0.001    0.030    0.001 {built-in method numpy.asarray}
    36000    0.026    0.000    0.026    0.000 columnar_series.py:46(<genexpr>)
    12000    0.007    0.000    0.012    0.000 columnar_series.py:337(<lambda>)
        3    0.000    0.000    0.011    0.004 factor.py:387(evaluate_factor)
        6    0.004    0.001    0.011    0.002 factor.py:450(factor_day)
    12000    0.005    0.000    0.008    0.000 {built-in method builtins.any}
       12    0.003    0.000    0.007    0.001 {method 'sort' of 'list' objects}
        6    0.000    0.000    0.007    0.001 factor.py:457(factor_values)
    18006    0.006    0.000    0.006    0.000 {method 'get' of 'dict' objects}
        6    0.000    0.000    0.005    0.001 factor.py:466(_factor_array_values)
    12000    0.005    0.000    0.005    0.000 <string>:2(__init__)
    27012    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
    42149    0.004    0.000    0.004    0.000 {built-in method builtins.len}
    36000    0.003    0.000    0.003    0.000 columnar_series.py:47(<genexpr>)
        6    0.001    0.000    0.003    0.000 factor.py:516(_pearson_arrays)
     9000    0.002    0.000    0.002    0.000 factor.py:330(<lambda>)
        1    0.002    0.002    0.002    0.002 columnar_series.py:255(_instrument_axis)
