field_id,identifier,year,company_type,observed_security_sessions,non_null,source_null,non_null_ratio_of_returned_rows
market.capitalization.total,total_mv,2010,not_applicable_market_observation,431567,431567,0,1.0
market.capitalization.float,circ_mv,2010,not_applicable_market_observation,431567,431567,0,1.0
market.shares.total,total_share,2010,not_applicable_market_observation,431567,431567,0,1.0
market.shares.float,float_share,2010,not_applicable_market_observation,431567,431567,0,1.0
market.shares.free_float,free_share,2010,not_applicable_market_observation,431567,431273,294,0.9993187616291329
market.turnover.float_ratio,turnover_rate,2010,not_applicable_market_observation,431567,431567,0,1.0
market.turnover.free_float_ratio,turnover_rate_f,2010,not_applicable_market_observation,431567,431567,0,1.0
market.volume.ratio,volume_ratio,2010,not_applicable_market_observation,431567,429839,1728,0.9959959867181689
market.valuation.pe,pe,2010,not_applicable_market_observation,431567,387041,44526,0.896827143873373
market.valuation.pe_ttm,pe_ttm,2010,not_applicable_market_observation,431567,372787,58780,0.8637986685728983
market.valuation.pb,pb,2010,not_applicable_market_observation,431567,423024,8543,0.9802046959104843
market.valuation.ps,ps,2010,not_applicable_market_observation,431567,430918,649,0.9984961778819975
market.valuation.ps_ttm,ps_ttm,2010,not_applicable_market_observation,431567,430942,625,0.9985517891775785
market.dividend.yield_annual,dv_ratio,2010,not_applicable_market_observation,431567,354366,77201,0.8211146820771745
market.dividend.yield_ttm,dv_ttm,2010,not_applicable_market_observation,431567,220680,210887,0.5113458628671794
market.capitalization.total,total_mv,2011,not_applicable_market_observation,511455,511455,0,1.0
market.capitalization.float,circ_mv,2011,not_applicable_market_observation,511455,511455,0,1.0
market.shares.total,total_share,2011,not_applicable_market_observation,511455,511455,0,1.0
market.shares.float,float_share,2011,not_applicable_market_observation,511455,511455,0,1.0
market.shares.free_float,free_share,2011,not_applicable_market_observation,511455,511314,141,0.9997243159222219
market.turnover.float_ratio,turnover_rate,2011,not_applicable_market_observation,511455,511455,0,1.0
market.turnover.free_float_ratio,turnover_rate_f,2011,not_applicable_market_observation,511455,511455,0,1.0
market.volume.ratio,volume_ratio,2011,not_applicable_market_observation,511455,510034,1421,0.9972216519537398
market.valuation.pe,pe,2011,not_applicable_market_observation,511455,483472,27983,0.945287464195286
market.valuation.pe_ttm,pe_ttm,2011,not_applicable_market_observation,511455,473545,37910,0.9258781319959722
market.valuation.pb,pb,2011,not_applicable_market_observation,511455,503695,7760,0.9848275996910775
market.valuation.ps,ps,2011,not_applicable_market_observation,511455,510683,772,0.9984905807940092
market.valuation.ps_ttm,ps_ttm,2011,not_applicable_market_observation,511455,510653,802,0.998431924607248
market.dividend.yield_annual,dv_ratio,2011,not_applicable_market_observation,511455,396873,114582,0.7759685602838959
market.dividend.yield_ttm,dv_ttm,2011,not_applicable_market_observation,511455,280963,230492,0.5493406067004918
market.capitalization.total,total_mv,2012,not_applicable_market_observation,565675,565675,0,1.0
market.capitalization.float,circ_mv,2012,not_applicable_market_observation,565675,565675,0,1.0
market.shares.total,total_share,2012,not_applicable_market_observation,565675,565675,0,1.0
market.shares.float,float_share,2012,not_applicable_market_observation,565675,565675,0,1.0
market.shares.free_float,free_share,2012,not_applicable_market_observation,565675,565477,198,0.9996499756927565
market.turnover.float_ratio,turnover_rate,2012,not_applicable_market_observation,565675,565675,0,1.0
market.turnover.free_float_ratio,turnover_rate_f,2012,not_applicable_market_observation,565675,565675,0,1.0
market.volume.ratio,volume_ratio,2012,not_applicable_market_observation,565675,564884,791,0.9986016705705573
market.valuation.pe,pe,2012,not_applicable_market_observation,565675,534587,31088,0.9450426481636982
market.valuation.pe_ttm,pe_ttm,2012,not_applicable_market_observation,565675,508771,56904,0.8994051354576391
market.valuation.pb,pb,2012,not_applicable_market_observation,565675,559485,6190,0.9890573208998099
market.valuation.ps,ps,2012,not_applicable_market_observation,565675,564866,809,0.9985698501789897
market.valuation.ps_ttm,ps_ttm,2012,not_applicable_market_observation,565675,565084,591,0.998955230476864
market.dividend.yield_annual,dv_ratio,2012,not_applicable_market_observation,565675,472009,93666,0.8344172890794184
market.dividend.yield_ttm,dv_ttm,2012,not_applicable_market_observation,565675,352160,213515,0.622548283024705
market.capitalization.total,total_mv,2013,not_applicable_market_observation,564168,564168,0,1.0
market.capitalization.float,circ_mv,2013,not_applicable_market_observation,564168,564168,0,1.0
market.shares.total,total_share,2013,not_applicable_market_observation,564168,564168,0,1.0
market.shares.float,float_share,2013,not_applicable_market_observation,564168,564168,0,1.0
market.shares.free_float,free_share,2013,not_applicable_market_observation,564168,563527,641,0.9988638136158023
market.turnover.float_ratio,turnover_rate,2013,not_applicable_market_observation,564168,564168,0,1.0
market.turnover.free_float_ratio,turnover_rate_f,2013,not_applicable_market_observation,564168,564168,0,1.0
market.volume.ratio,volume_ratio,2013,not_applicable_market_observation,564168,564158,10,0.9999822747833979
