field_id,year,company_type,listed_security_sessions,dsl_non_null,dsl_missing
financial.indicator.adminexp_of_gr,2010,not_provided_by_source,452712,83,452629
financial.indicator.adminexp_of_gr,2011,not_provided_by_source,536606,244,536362
financial.indicator.adminexp_of_gr,2012,not_provided_by_source,586712,274,586438
financial.indicator.adminexp_of_gr,2013,not_provided_by_source,587580,238,587342
financial.indicator.adminexp_of_gr,2014,not_provided_by_source,620068,265,619803
financial.indicator.adminexp_of_gr,2015,not_provided_by_source,665185,257,664928
financial.indicator.adminexp_of_gr,2016,not_provided_by_source,704146,258,703888
financial.indicator.adminexp_of_gr,2017,not_provided_by_source,799069,757,798312
financial.indicator.adminexp_of_gr,2018,not_provided_by_source,856805,1845,854960
financial.indicator.adminexp_of_gr,2019,not_provided_by_source,890261,1603,888658
financial.indicator.adminexp_of_gr,2020,not_provided_by_source,952002,3557,948445
financial.indicator.adminexp_of_gr,2021,not_provided_by_source,1062390,905,1061485
financial.indicator.adminexp_of_gr,2022,not_provided_by_source,1149262,2483,1146779
financial.indicator.adminexp_of_gr,2023,not_provided_by_source,1211954,374060,837894
financial.indicator.adminexp_of_gr,2024,not_provided_by_source,1236332,1059899,176433
financial.indicator.adminexp_of_gr,2025,not_provided_by_source,1251467,895021,356446
financial.indicator.adminexp_of_gr,2026,not_provided_by_source,868253,660767,207486
financial.indicator.ar_turn,2010,not_provided_by_source,452712,83,452629
financial.indicator.ar_turn,2011,not_provided_by_source,536606,244,536362
financial.indicator.ar_turn,2012,not_provided_by_source,586712,274,586438
financial.indicator.ar_turn,2013,not_provided_by_source,587580,238,587342
financial.indicator.ar_turn,2014,not_provided_by_source,620068,265,619803
financial.indicator.ar_turn,2015,not_provided_by_source,665185,257,664928
financial.indicator.ar_turn,2016,not_provided_by_source,704146,258,703888
financial.indicator.ar_turn,2017,not_provided_by_source,799069,757,798312
financial.indicator.ar_turn,2018,not_provided_by_source,856805,1805,855000
financial.indicator.ar_turn,2019,not_provided_by_source,890261,1603,888658
financial.indicator.ar_turn,2020,not_provided_by_source,952002,3436,948566
financial.indicator.ar_turn,2021,not_provided_by_source,1062390,905,1061485
financial.indicator.ar_turn,2022,not_provided_by_source,1149262,2483,1146779
financial.indicator.ar_turn,2023,not_provided_by_source,1211954,365977,845977
financial.indicator.ar_turn,2024,not_provided_by_source,1236332,1036794,199538
financial.indicator.ar_turn,2025,not_provided_by_source,1251467,873548,377919
financial.indicator.ar_turn,2026,not_provided_by_source,868253,645313,222940
financial.indicator.arturn_days,2010,not_provided_by_source,452712,83,452629
financial.indicator.arturn_days,2011,not_provided_by_source,536606,244,536362
financial.indicator.arturn_days,2012,not_provided_by_source,586712,274,586438
financial.indicator.arturn_days,2013,not_provided_by_source,587580,238,587342
financial.indicator.arturn_days,2014,not_provided_by_source,620068,265,619803
financial.indicator.arturn_days,2015,not_provided_by_source,665185,257,664928
financial.indicator.arturn_days,2016,not_provided_by_source,704146,258,703888
financial.indicator.arturn_days,2017,not_provided_by_source,799069,757,798312
financial.indicator.arturn_days,2018,not_provided_by_source,856805,1805,855000
financial.indicator.arturn_days,2019,not_provided_by_source,890261,1603,888658
financial.indicator.arturn_days,2020,not_provided_by_source,952002,3436,948566
financial.indicator.arturn_days,2021,not_provided_by_source,1062390,905,1061485
financial.indicator.arturn_days,2022,not_provided_by_source,1149262,2483,1146779
financial.indicator.arturn_days,2023,not_provided_by_source,1211954,365977,845977
financial.indicator.arturn_days,2024,not_provided_by_source,1236332,1036755,199577
financial.indicator.arturn_days,2025,not_provided_by_source,1251467,873548,377919
financial.indicator.arturn_days,2026,not_provided_by_source,868253,645313,222940
financial.indicator.assets_to_eqt,2010,not_provided_by_source,452712,83,452629
financial.indicator.assets_to_eqt,2011,not_provided_by_source,536606,244,536362
financial.indicator.assets_to_eqt,2012,not_provided_by_source,586712,274,586438
financial.indicator.assets_to_eqt,2013,not_provided_by_source,587580,238,587342
financial.indicator.assets_to_eqt,2014,not_provided_by_source,620068,265,619803
financial.indicator.assets_to_eqt,2015,not_provided_by_source,665185,257,664928
financial.indicator.assets_to_eqt,2016,not_provided_by_source,704146,258,703888
financial.indicator.assets_to_eqt,2017,not_provided_by_source,799069,757,798312
