field_id,year,company_type,listed_security_sessions,dsl_non_null,dsl_missing
financial.indicator.adminexp_of_gr,2010,not_provided_by_source,452712,448961,3751
financial.indicator.adminexp_of_gr,2011,not_provided_by_source,536606,532628,3978
financial.indicator.adminexp_of_gr,2012,not_provided_by_source,586712,583661,3051
financial.indicator.adminexp_of_gr,2013,not_provided_by_source,587580,586482,1098
financial.indicator.adminexp_of_gr,2014,not_provided_by_source,620068,618610,1458
financial.indicator.adminexp_of_gr,2015,not_provided_by_source,665185,664263,922
financial.indicator.adminexp_of_gr,2016,not_provided_by_source,704146,703296,850
financial.indicator.adminexp_of_gr,2017,not_provided_by_source,799069,798543,526
financial.indicator.adminexp_of_gr,2018,not_provided_by_source,856805,856183,622
financial.indicator.adminexp_of_gr,2019,not_provided_by_source,890261,889728,533
financial.indicator.adminexp_of_gr,2020,not_provided_by_source,952002,950523,1479
financial.indicator.adminexp_of_gr,2021,not_provided_by_source,1062390,1058969,3421
financial.indicator.adminexp_of_gr,2022,not_provided_by_source,1149262,1143626,5636
financial.indicator.adminexp_of_gr,2023,not_provided_by_source,1211954,1204044,7910
financial.indicator.adminexp_of_gr,2024,not_provided_by_source,1236332,1233556,2776
financial.indicator.adminexp_of_gr,2025,not_provided_by_source,1251467,1246661,4806
financial.indicator.adminexp_of_gr,2026,not_provided_by_source,868253,857425,10828
financial.indicator.ar_turn,2010,not_provided_by_source,452712,436257,16455
financial.indicator.ar_turn,2011,not_provided_by_source,536606,518075,18531
financial.indicator.ar_turn,2012,not_provided_by_source,586712,568784,17928
financial.indicator.ar_turn,2013,not_provided_by_source,587580,572100,15480
financial.indicator.ar_turn,2014,not_provided_by_source,620068,604930,15138
financial.indicator.ar_turn,2015,not_provided_by_source,665185,648880,16305
financial.indicator.ar_turn,2016,not_provided_by_source,704146,685960,18186
financial.indicator.ar_turn,2017,not_provided_by_source,799069,776799,22270
financial.indicator.ar_turn,2018,not_provided_by_source,856805,829175,27630
financial.indicator.ar_turn,2019,not_provided_by_source,890261,847356,42905
financial.indicator.ar_turn,2020,not_provided_by_source,952002,921592,30410
financial.indicator.ar_turn,2021,not_provided_by_source,1062390,1027434,34956
financial.indicator.ar_turn,2022,not_provided_by_source,1149262,1108912,40350
financial.indicator.ar_turn,2023,not_provided_by_source,1211954,1169530,42424
financial.indicator.ar_turn,2024,not_provided_by_source,1236332,1203738,32594
financial.indicator.ar_turn,2025,not_provided_by_source,1251467,1218186,33281
financial.indicator.ar_turn,2026,not_provided_by_source,868253,847495,20758
financial.indicator.arturn_days,2010,not_provided_by_source,452712,435684,17028
financial.indicator.arturn_days,2011,not_provided_by_source,536606,517616,18990
financial.indicator.arturn_days,2012,not_provided_by_source,586712,568465,18247
financial.indicator.arturn_days,2013,not_provided_by_source,587580,571935,15645
financial.indicator.arturn_days,2014,not_provided_by_source,620068,604930,15138
financial.indicator.arturn_days,2015,not_provided_by_source,665185,648801,16384
financial.indicator.arturn_days,2016,not_provided_by_source,704146,685791,18355
financial.indicator.arturn_days,2017,not_provided_by_source,799069,776714,22355
financial.indicator.arturn_days,2018,not_provided_by_source,856805,829138,27667
financial.indicator.arturn_days,2019,not_provided_by_source,890261,847356,42905
financial.indicator.arturn_days,2020,not_provided_by_source,952002,921376,30626
financial.indicator.arturn_days,2021,not_provided_by_source,1062390,1025771,36619
financial.indicator.arturn_days,2022,not_provided_by_source,1149262,1107110,42152
financial.indicator.arturn_days,2023,not_provided_by_source,1211954,1168749,43205
financial.indicator.arturn_days,2024,not_provided_by_source,1236332,1203282,33050
financial.indicator.arturn_days,2025,not_provided_by_source,1251467,1217593,33874
financial.indicator.arturn_days,2026,not_provided_by_source,868253,813771,54482
financial.indicator.assets_to_eqt,2010,not_provided_by_source,452712,439446,13266
financial.indicator.assets_to_eqt,2011,not_provided_by_source,536606,524816,11790
financial.indicator.assets_to_eqt,2012,not_provided_by_source,586712,575901,10811
financial.indicator.assets_to_eqt,2013,not_provided_by_source,587580,580991,6589
financial.indicator.assets_to_eqt,2014,not_provided_by_source,620068,616585,3483
financial.indicator.assets_to_eqt,2015,not_provided_by_source,665185,661448,3737
financial.indicator.assets_to_eqt,2016,not_provided_by_source,704146,700375,3771
financial.indicator.assets_to_eqt,2017,not_provided_by_source,799069,796294,2775
financial.indicator.assets_to_eqt,2018,not_provided_by_source,856805,852639,4166
financial.indicator.assets_to_eqt,2019,not_provided_by_source,890261,882890,7371
financial.indicator.assets_to_eqt,2020,not_provided_by_source,952002,941773,10229
financial.indicator.assets_to_eqt,2021,not_provided_by_source,1062390,1050989,11401
financial.indicator.assets_to_eqt,2022,not_provided_by_source,1149262,1136830,12432
financial.indicator.assets_to_eqt,2023,not_provided_by_source,1211954,1195551,16403
financial.indicator.assets_to_eqt,2024,not_provided_by_source,1236332,1226712,9620
financial.indicator.assets_to_eqt,2025,not_provided_by_source,1251467,1239829,11638
financial.indicator.assets_to_eqt,2026,not_provided_by_source,868253,860618,7635
financial.indicator.assets_turn,2010,not_provided_by_source,452712,450111,2601
financial.indicator.assets_turn,2011,not_provided_by_source,536606,533828,2778
financial.indicator.assets_turn,2012,not_provided_by_source,586712,584466,2246
financial.indicator.assets_turn,2013,not_provided_by_source,587580,586860,720
financial.indicator.assets_turn,2014,not_provided_by_source,620068,619657,411
financial.indicator.assets_turn,2015,not_provided_by_source,665185,664066,1119
financial.indicator.assets_turn,2016,not_provided_by_source,704146,701634,2512
financial.indicator.assets_turn,2017,not_provided_by_source,799069,795361,3708
financial.indicator.assets_turn,2018,not_provided_by_source,856805,851527,5278
financial.indicator.assets_turn,2019,not_provided_by_source,890261,882564,7697
financial.indicator.assets_turn,2020,not_provided_by_source,952002,940422,11580
financial.indicator.assets_turn,2021,not_provided_by_source,1062390,1045097,17293
financial.indicator.assets_turn,2022,not_provided_by_source,1149262,1126093,23169
financial.indicator.assets_turn,2023,not_provided_by_source,1211954,1186778,25176
financial.indicator.assets_turn,2024,not_provided_by_source,1236332,1229011,7321
financial.indicator.assets_turn,2025,not_provided_by_source,1251467,1243623,7844
financial.indicator.assets_turn,2026,not_provided_by_source,868253,865195,3058
financial.indicator.assets_ytd_growth,2010,not_provided_by_source,452712,452549,163
