field_id,identifier,report_year,company_type,source_observation_rows,source_non_null,source_null
financial.indicator.adminexp_of_gr,adminexp_of_gr,1990,not_provided_by_source,98,26,72
financial.indicator.adminexp_of_gr,adminexp_of_gr,1991,not_provided_by_source,144,56,88
financial.indicator.adminexp_of_gr,adminexp_of_gr,1992,not_provided_by_source,218,144,74
financial.indicator.adminexp_of_gr,adminexp_of_gr,1993,not_provided_by_source,592,434,158
financial.indicator.adminexp_of_gr,adminexp_of_gr,1994,not_provided_by_source,949,666,283
financial.indicator.adminexp_of_gr,adminexp_of_gr,1995,not_provided_by_source,1096,818,278
financial.indicator.adminexp_of_gr,adminexp_of_gr,1996,not_provided_by_source,1378,1014,364
financial.indicator.adminexp_of_gr,adminexp_of_gr,1997,not_provided_by_source,1755,1099,656
financial.indicator.adminexp_of_gr,adminexp_of_gr,1998,not_provided_by_source,1794,1786,8
financial.indicator.adminexp_of_gr,adminexp_of_gr,1999,not_provided_by_source,1996,1982,14
financial.indicator.adminexp_of_gr,adminexp_of_gr,2000,not_provided_by_source,2042,2020,22
financial.indicator.adminexp_of_gr,adminexp_of_gr,2001,not_provided_by_source,2439,2341,98
financial.indicator.adminexp_of_gr,adminexp_of_gr,2002,not_provided_by_source,4116,3712,404
financial.indicator.adminexp_of_gr,adminexp_of_gr,2003,not_provided_by_source,4414,4339,75
financial.indicator.adminexp_of_gr,adminexp_of_gr,2004,not_provided_by_source,4808,4691,117
financial.indicator.adminexp_of_gr,adminexp_of_gr,2005,not_provided_by_source,5130,4998,132
financial.indicator.adminexp_of_gr,adminexp_of_gr,2006,not_provided_by_source,6042,5941,101
financial.indicator.adminexp_of_gr,adminexp_of_gr,2007,not_provided_by_source,7275,7160,115
financial.indicator.adminexp_of_gr,adminexp_of_gr,2008,not_provided_by_source,8085,7968,117
financial.indicator.adminexp_of_gr,adminexp_of_gr,2009,not_provided_by_source,9808,9668,140
financial.indicator.adminexp_of_gr,adminexp_of_gr,2010,not_provided_by_source,10706,10538,168
financial.indicator.adminexp_of_gr,adminexp_of_gr,2011,not_provided_by_source,12606,12453,153
financial.indicator.adminexp_of_gr,adminexp_of_gr,2012,not_provided_by_source,13723,13520,203
financial.indicator.adminexp_of_gr,adminexp_of_gr,2013,not_provided_by_source,14280,14100,180
