field_id,identifier,report_year,company_type,source_observation_rows,source_non_null,source_null
financial.indicator.adminexp_of_gr,adminexp_of_gr,1990,not_provided_by_source,284,60,224
financial.indicator.adminexp_of_gr,adminexp_of_gr,1991,not_provided_by_source,372,104,268
financial.indicator.adminexp_of_gr,adminexp_of_gr,1992,not_provided_by_source,626,248,378
financial.indicator.adminexp_of_gr,adminexp_of_gr,1993,not_provided_by_source,1362,1052,310
financial.indicator.adminexp_of_gr,adminexp_of_gr,1994,not_provided_by_source,2056,1075,981
financial.indicator.adminexp_of_gr,adminexp_of_gr,1995,not_provided_by_source,2333,1689,644
financial.indicator.adminexp_of_gr,adminexp_of_gr,1996,not_provided_by_source,2899,2043,856
financial.indicator.adminexp_of_gr,adminexp_of_gr,1997,not_provided_by_source,3711,2338,1373
financial.indicator.adminexp_of_gr,adminexp_of_gr,1998,not_provided_by_source,3934,3910,24
financial.indicator.adminexp_of_gr,adminexp_of_gr,1999,not_provided_by_source,4456,4414,42
financial.indicator.adminexp_of_gr,adminexp_of_gr,2000,not_provided_by_source,4904,4850,54
financial.indicator.adminexp_of_gr,adminexp_of_gr,2001,not_provided_by_source,5803,5633,170
financial.indicator.adminexp_of_gr,adminexp_of_gr,2002,not_provided_by_source,10138,9606,532
financial.indicator.adminexp_of_gr,adminexp_of_gr,2003,not_provided_by_source,11038,10870,168
financial.indicator.adminexp_of_gr,adminexp_of_gr,2004,not_provided_by_source,11591,11373,218
financial.indicator.adminexp_of_gr,adminexp_of_gr,2005,not_provided_by_source,11984,11730,254
financial.indicator.adminexp_of_gr,adminexp_of_gr,2006,not_provided_by_source,13014,12851,163
financial.indicator.adminexp_of_gr,adminexp_of_gr,2007,not_provided_by_source,14483,14338,145
financial.indicator.adminexp_of_gr,adminexp_of_gr,2008,not_provided_by_source,15481,15303,178
financial.indicator.adminexp_of_gr,adminexp_of_gr,2009,not_provided_by_source,17455,17204,251
financial.indicator.adminexp_of_gr,adminexp_of_gr,2010,not_provided_by_source,18522,18227,295
financial.indicator.adminexp_of_gr,adminexp_of_gr,2011,not_provided_by_source,21209,20861,348
financial.indicator.adminexp_of_gr,adminexp_of_gr,2012,not_provided_by_source,22867,22427,440
financial.indicator.adminexp_of_gr,adminexp_of_gr,2013,not_provided_by_source,23933,23518,415
financial.indicator.adminexp_of_gr,adminexp_of_gr,2014,not_provided_by_source,25674,25336,338
financial.indicator.adminexp_of_gr,adminexp_of_gr,2015,not_provided_by_source,27586,27253,333
financial.indicator.adminexp_of_gr,adminexp_of_gr,2016,not_provided_by_source,31074,30780,294
financial.indicator.adminexp_of_gr,adminexp_of_gr,2017,not_provided_by_source,32844,32653,191
financial.indicator.adminexp_of_gr,adminexp_of_gr,2018,not_provided_by_source,33975,33792,183
financial.indicator.adminexp_of_gr,adminexp_of_gr,2019,not_provided_by_source,36005,35825,180
financial.indicator.adminexp_of_gr,adminexp_of_gr,2020,not_provided_by_source,38841,38703,138
financial.indicator.adminexp_of_gr,adminexp_of_gr,2021,not_provided_by_source,40961,40666,295
financial.indicator.adminexp_of_gr,adminexp_of_gr,2022,not_provided_by_source,41878,41675,203
financial.indicator.adminexp_of_gr,adminexp_of_gr,2023,not_provided_by_source,28609,28491,118
financial.indicator.adminexp_of_gr,adminexp_of_gr,2024,not_provided_by_source,24134,24075,59
financial.indicator.adminexp_of_gr,adminexp_of_gr,2025,not_provided_by_source,26352,26317,35
financial.indicator.adminexp_of_gr,adminexp_of_gr,2026,not_provided_by_source,15888,15857,31
financial.indicator.ar_turn,ar_turn,1990,not_provided_by_source,284,86,198
financial.indicator.ar_turn,ar_turn,1991,not_provided_by_source,372,170,202
financial.indicator.ar_turn,ar_turn,1992,not_provided_by_source,626,398,228
financial.indicator.ar_turn,ar_turn,1993,not_provided_by_source,1362,1038,324
financial.indicator.ar_turn,ar_turn,1994,not_provided_by_source,2056,1801,255
financial.indicator.ar_turn,ar_turn,1995,not_provided_by_source,2333,2199,134
financial.indicator.ar_turn,ar_turn,1996,not_provided_by_source,2899,2093,806
financial.indicator.ar_turn,ar_turn,1997,not_provided_by_source,3711,2199,1512
financial.indicator.ar_turn,ar_turn,1998,not_provided_by_source,3934,3858,76
financial.indicator.ar_turn,ar_turn,1999,not_provided_by_source,4456,4214,242
financial.indicator.ar_turn,ar_turn,2000,not_provided_by_source,4904,4620,284
financial.indicator.ar_turn,ar_turn,2001,not_provided_by_source,5803,5201,602
financial.indicator.ar_turn,ar_turn,2002,not_provided_by_source,10138,9713,425
financial.indicator.ar_turn,ar_turn,2003,not_provided_by_source,11038,10328,710
financial.indicator.ar_turn,ar_turn,2004,not_provided_by_source,11591,11089,502
financial.indicator.ar_turn,ar_turn,2005,not_provided_by_source,11984,11257,727
financial.indicator.ar_turn,ar_turn,2006,not_provided_by_source,13014,11972,1042
financial.indicator.ar_turn,ar_turn,2007,not_provided_by_source,14483,13360,1123
financial.indicator.ar_turn,ar_turn,2008,not_provided_by_source,15481,14413,1068
financial.indicator.ar_turn,ar_turn,2009,not_provided_by_source,17455,15377,2078
financial.indicator.ar_turn,ar_turn,2010,not_provided_by_source,18522,17293,1229
financial.indicator.ar_turn,ar_turn,2011,not_provided_by_source,21209,20076,1133
financial.indicator.ar_turn,ar_turn,2012,not_provided_by_source,22867,21691,1176
financial.indicator.ar_turn,ar_turn,2013,not_provided_by_source,23933,22771,1162
financial.indicator.ar_turn,ar_turn,2014,not_provided_by_source,25674,24377,1297
financial.indicator.ar_turn,ar_turn,2015,not_provided_by_source,27586,26095,1491
financial.indicator.ar_turn,ar_turn,2016,not_provided_by_source,31074,29443,1631
financial.indicator.ar_turn,ar_turn,2017,not_provided_by_source,32844,30995,1849
financial.indicator.ar_turn,ar_turn,2018,not_provided_by_source,33975,31780,2195
financial.indicator.ar_turn,ar_turn,2019,not_provided_by_source,36005,33135,2870
financial.indicator.ar_turn,ar_turn,2020,not_provided_by_source,38841,35894,2947
financial.indicator.ar_turn,ar_turn,2021,not_provided_by_source,40961,38441,2520
financial.indicator.ar_turn,ar_turn,2022,not_provided_by_source,41878,39748,2130
financial.indicator.ar_turn,ar_turn,2023,not_provided_by_source,28609,27625,984
financial.indicator.ar_turn,ar_turn,2024,not_provided_by_source,24134,23305,829
financial.indicator.ar_turn,ar_turn,2025,not_provided_by_source,26352,25671,681
financial.indicator.ar_turn,ar_turn,2026,not_provided_by_source,15888,15537,351
financial.indicator.arturn_days,arturn_days,1990,not_provided_by_source,284,42,242
financial.indicator.arturn_days,arturn_days,1991,not_provided_by_source,372,98,274
financial.indicator.arturn_days,arturn_days,1992,not_provided_by_source,626,260,366
