field_id,year,company_type,observed_price_rows,non_null_finite,missing,non_finite
market.turnover.cny,2010,not_applicable,431567,431567,0,0
market.turnover.cny,2011,not_applicable,511455,511455,0,0
market.turnover.cny,2012,not_applicable,565675,565675,0,0
market.turnover.cny,2013,not_applicable,564168,564168,0,0
market.turnover.cny,2014,not_applicable,569948,569948,0,0
market.turnover.cny,2015,not_applicable,569698,569698,0,0
market.turnover.cny,2016,not_applicable,641546,641546,0,0
market.turnover.cny,2017,not_applicable,743239,743239,0,0
market.turnover.cny,2018,not_applicable,816988,816988,0,0
market.turnover.cny,2019,not_applicable,884867,884867,0,0
market.turnover.cny,2020,not_applicable,945962,945962,0,0
market.turnover.cny,2021,not_applicable,1058863,1058863,0,0
market.turnover.cny,2022,not_applicable,1146263,1146263,0,0
market.turnover.cny,2023,not_applicable,1209468,1209468,0,0
market.turnover.cny,2024,not_applicable,1233202,1233202,0,0
market.turnover.cny,2025,not_applicable,1248108,1248108,0,0
market.turnover.cny,2026,not_applicable,866351,866351,0,0
market.volume.shares,2010,not_applicable,431567,431567,0,0
market.volume.shares,2011,not_applicable,511455,511455,0,0
market.volume.shares,2012,not_applicable,565675,565675,0,0
market.volume.shares,2013,not_applicable,564168,564168,0,0
market.volume.shares,2014,not_applicable,569948,569948,0,0
market.volume.shares,2015,not_applicable,569698,569698,0,0
market.volume.shares,2016,not_applicable,641546,641546,0,0
market.volume.shares,2017,not_applicable,743239,743239,0,0
market.volume.shares,2018,not_applicable,816988,816988,0,0
market.volume.shares,2019,not_applicable,884867,884867,0,0
market.volume.shares,2020,not_applicable,945962,945962,0,0
market.volume.shares,2021,not_applicable,1058863,1058863,0,0
market.volume.shares,2022,not_applicable,1146263,1146263,0,0
market.volume.shares,2023,not_applicable,1209468,1209468,0,0
market.volume.shares,2024,not_applicable,1233202,1233202,0,0
market.volume.shares,2025,not_applicable,1248108,1248108,0,0
market.volume.shares,2026,not_applicable,866351,866351,0,0
price.close.adjusted,2010,not_applicable,431567,431567,0,0
price.close.adjusted,2011,not_applicable,511455,511455,0,0
price.close.adjusted,2012,not_applicable,565675,565675,0,0
price.close.adjusted,2013,not_applicable,564168,564168,0,0
price.close.adjusted,2014,not_applicable,569948,569948,0,0
price.close.adjusted,2015,not_applicable,569698,569698,0,0
price.close.adjusted,2016,not_applicable,641546,641546,0,0
price.close.adjusted,2017,not_applicable,743239,743239,0,0
price.close.adjusted,2018,not_applicable,816988,816988,0,0
price.close.adjusted,2019,not_applicable,884867,884867,0,0
price.close.adjusted,2020,not_applicable,945962,945962,0,0
price.close.adjusted,2021,not_applicable,1058863,1058863,0,0
price.close.adjusted,2022,not_applicable,1146263,1146263,0,0
price.close.adjusted,2023,not_applicable,1209468,1209468,0,0
price.close.adjusted,2024,not_applicable,1233202,1233202,0,0
price.close.adjusted,2025,not_applicable,1248108,1248108,0,0
price.close.adjusted,2026,not_applicable,866351,866351,0,0
price.close.raw,2010,not_applicable,431567,431567,0,0
price.close.raw,2011,not_applicable,511455,511455,0,0
price.close.raw,2012,not_applicable,565675,565675,0,0
price.close.raw,2013,not_applicable,564168,564168,0,0
price.close.raw,2014,not_applicable,569948,569948,0,0
price.close.raw,2015,not_applicable,569698,569698,0,0
price.close.raw,2016,not_applicable,641546,641546,0,0
price.close.raw,2017,not_applicable,743239,743239,0,0
price.close.raw,2018,not_applicable,816988,816988,0,0
price.close.raw,2019,not_applicable,884867,884867,0,0
price.close.raw,2020,not_applicable,945962,945962,0,0
price.close.raw,2021,not_applicable,1058863,1058863,0,0
price.close.raw,2022,not_applicable,1146263,1146263,0,0
price.close.raw,2023,not_applicable,1209468,1209468,0,0
price.close.raw,2024,not_applicable,1233202,1233202,0,0
price.close.raw,2025,not_applicable,1248108,1248108,0,0
price.close.raw,2026,not_applicable,866351,866351,0,0
price.high.adjusted,2010,not_applicable,431567,431567,0,0
price.high.adjusted,2011,not_applicable,511455,511455,0,0
price.high.adjusted,2012,not_applicable,565675,565675,0,0
price.high.adjusted,2013,not_applicable,564168,564168,0,0
price.high.adjusted,2014,not_applicable,569948,569948,0,0
price.high.adjusted,2015,not_applicable,569698,569698,0,0
price.high.adjusted,2016,not_applicable,641546,641546,0,0
price.high.adjusted,2017,not_applicable,743239,743239,0,0
price.high.adjusted,2018,not_applicable,816988,816988,0,0
price.high.adjusted,2019,not_applicable,884867,884867,0,0
price.high.adjusted,2020,not_applicable,945962,945962,0,0
price.high.adjusted,2021,not_applicable,1058863,1058863,0,0
price.high.adjusted,2022,not_applicable,1146263,1146263,0,0
price.high.adjusted,2023,not_applicable,1209468,1209468,0,0
price.high.adjusted,2024,not_applicable,1233202,1233202,0,0
price.high.adjusted,2025,not_applicable,1248108,1248108,0,0
