field_id,year,listed_security_sessions,dsl_non_null,dsl_missing
financial.balance_sheet.accounts_payable.latest_reported,2010,452712,440416,12296
financial.balance_sheet.accounts_payable.latest_reported,2011,536606,523430,13176
financial.balance_sheet.accounts_payable.latest_reported,2012,586712,574053,12659
financial.balance_sheet.accounts_payable.latest_reported,2013,587580,575311,12269
financial.balance_sheet.accounts_payable.latest_reported,2014,620068,610320,9748
financial.balance_sheet.accounts_payable.latest_reported,2015,665185,651479,13706
financial.balance_sheet.accounts_payable.latest_reported,2016,704146,690032,14114
financial.balance_sheet.accounts_payable.latest_reported,2017,799069,779799,19270
financial.balance_sheet.accounts_payable.latest_reported,2018,856805,684062,172743
financial.balance_sheet.accounts_payable.latest_reported,2019,890261,349854,540407
financial.balance_sheet.accounts_payable.latest_reported,2020,952002,928126,23876
financial.balance_sheet.accounts_payable.latest_reported,2021,1062390,1039194,23196
financial.balance_sheet.accounts_payable.latest_reported,2022,1149262,1125104,24158
financial.balance_sheet.accounts_payable.latest_reported,2023,1211954,1187442,24512
financial.balance_sheet.accounts_payable.latest_reported,2024,1236332,1212334,23998
financial.balance_sheet.accounts_payable.latest_reported,2025,1251467,1227308,24159
financial.balance_sheet.accounts_payable.latest_reported,2026,868253,851645,16608
financial.balance_sheet.accounts_receivable.latest_reported,2010,452712,436606,16106
financial.balance_sheet.accounts_receivable.latest_reported,2011,536606,518483,18123
financial.balance_sheet.accounts_receivable.latest_reported,2012,586712,569480,17232
financial.balance_sheet.accounts_receivable.latest_reported,2013,587580,572254,15326
financial.balance_sheet.accounts_receivable.latest_reported,2014,620068,607797,12271
financial.balance_sheet.accounts_receivable.latest_reported,2015,665185,648040,17145
financial.balance_sheet.accounts_receivable.latest_reported,2016,704146,686354,17792
financial.balance_sheet.accounts_receivable.latest_reported,2017,799069,775882,23187
financial.balance_sheet.accounts_receivable.latest_reported,2018,856805,830831,25974
financial.balance_sheet.accounts_receivable.latest_reported,2019,890261,850052,40209
financial.balance_sheet.accounts_receivable.latest_reported,2020,952002,927216,24786
financial.balance_sheet.accounts_receivable.latest_reported,2021,1062390,1036574,25816
financial.balance_sheet.accounts_receivable.latest_reported,2022,1149262,1121732,27530
financial.balance_sheet.accounts_receivable.latest_reported,2023,1211954,1184209,27745
financial.balance_sheet.accounts_receivable.latest_reported,2024,1236332,1209188,27144
financial.balance_sheet.accounts_receivable.latest_reported,2025,1251467,1224749,26718
financial.balance_sheet.accounts_receivable.latest_reported,2026,868253,850092,18161
financial.balance_sheet.bonds_payable.latest_reported,2010,452712,42007,410705
financial.balance_sheet.bonds_payable.latest_reported,2011,536606,56236,480370
financial.balance_sheet.bonds_payable.latest_reported,2012,586712,98083,488629
financial.balance_sheet.bonds_payable.latest_reported,2013,587580,122889,464691
financial.balance_sheet.bonds_payable.latest_reported,2014,620068,136475,483593
financial.balance_sheet.bonds_payable.latest_reported,2015,665185,145053,520132
financial.balance_sheet.bonds_payable.latest_reported,2016,704146,162281,541865
financial.balance_sheet.bonds_payable.latest_reported,2017,799069,169527,629542
financial.balance_sheet.bonds_payable.latest_reported,2018,856805,174724,682081
financial.balance_sheet.bonds_payable.latest_reported,2019,890261,181656,708605
financial.balance_sheet.bonds_payable.latest_reported,2020,952002,195490,756512
financial.balance_sheet.bonds_payable.latest_reported,2021,1062390,208887,853503
financial.balance_sheet.bonds_payable.latest_reported,2022,1149262,213075,936187
financial.balance_sheet.bonds_payable.latest_reported,2023,1211954,228122,983832
financial.balance_sheet.bonds_payable.latest_reported,2024,1236332,232043,1004289
financial.balance_sheet.bonds_payable.latest_reported,2025,1251467,223224,1028243
financial.balance_sheet.bonds_payable.latest_reported,2026,868253,143541,724712
financial.balance_sheet.contract_assets.latest_reported,2010,452712,0,452712
financial.balance_sheet.contract_assets.latest_reported,2011,536606,0,536606
financial.balance_sheet.contract_assets.latest_reported,2012,586712,0,586712
financial.balance_sheet.contract_assets.latest_reported,2013,587580,0,587580
financial.balance_sheet.contract_assets.latest_reported,2014,620068,0,620068
financial.balance_sheet.contract_assets.latest_reported,2015,665185,0,665185
financial.balance_sheet.contract_assets.latest_reported,2016,704146,0,704146
financial.balance_sheet.contract_assets.latest_reported,2017,799069,0,799069
financial.balance_sheet.contract_assets.latest_reported,2018,856805,2968,853837
financial.balance_sheet.contract_assets.latest_reported,2019,890261,14249,876012
financial.balance_sheet.contract_assets.latest_reported,2020,952002,128609,823393
financial.balance_sheet.contract_assets.latest_reported,2021,1062390,307057,755333
financial.balance_sheet.contract_assets.latest_reported,2022,1149262,387240,762022
financial.balance_sheet.contract_assets.latest_reported,2023,1211954,434230,777724
financial.balance_sheet.contract_assets.latest_reported,2024,1236332,462584,773748
financial.balance_sheet.contract_assets.latest_reported,2025,1251467,479397,772070
financial.balance_sheet.contract_assets.latest_reported,2026,868253,344616,523637
