field_id,report_year,company_type,retained_observation_rows,unavailable_source_fact,out_of_reporting_scope,inapplicable_company_type,out_of_period_scope,eligible_source_null,eligible_source_non_null
financial.balance_sheet.accounts_payable.latest_reported,1989,1,9,0,0,0,0,5,4
financial.balance_sheet.accounts_payable.latest_reported,1989,2,1,0,0,0,0,1,0
financial.balance_sheet.accounts_payable.latest_reported,1990,1,94,0,0,0,0,55,39
financial.balance_sheet.accounts_payable.latest_reported,1990,2,1,0,0,0,0,1,0
financial.balance_sheet.accounts_payable.latest_reported,1991,1,140,0,0,0,0,79,61
financial.balance_sheet.accounts_payable.latest_reported,1991,2,1,0,0,0,0,1,0
financial.balance_sheet.accounts_payable.latest_reported,1992,1,293,0,0,0,0,89,204
financial.balance_sheet.accounts_payable.latest_reported,1992,2,1,0,0,0,0,1,0
financial.balance_sheet.accounts_payable.latest_reported,1993,1,638,0,0,0,0,166,472
financial.balance_sheet.accounts_payable.latest_reported,1993,2,1,0,0,0,0,0,1
financial.balance_sheet.accounts_payable.latest_reported,1993,4,2,0,0,0,0,0,2
financial.balance_sheet.accounts_payable.latest_reported,1994,1,1013,0,0,0,0,395,618
financial.balance_sheet.accounts_payable.latest_reported,1994,2,2,0,0,0,0,0,2
financial.balance_sheet.accounts_payable.latest_reported,1994,4,2,0,0,0,0,1,1
financial.balance_sheet.accounts_payable.latest_reported,1995,1,1159,0,0,0,0,352,807
financial.balance_sheet.accounts_payable.latest_reported,1995,2,2,0,0,0,0,0,2
financial.balance_sheet.accounts_payable.latest_reported,1995,4,2,0,0,0,0,1,1
financial.balance_sheet.accounts_payable.latest_reported,1996,1,1434,0,0,0,0,462,972
financial.balance_sheet.accounts_payable.latest_reported,1996,2,3,0,0,0,0,0,3
financial.balance_sheet.accounts_payable.latest_reported,1996,4,2,0,0,0,0,1,1
financial.balance_sheet.accounts_payable.latest_reported,1997,1,1812,0,0,0,0,696,1116
financial.balance_sheet.accounts_payable.latest_reported,1997,2,4,0,0,0,0,0,4
financial.balance_sheet.accounts_payable.latest_reported,1997,4,2,0,0,0,0,1,1
financial.balance_sheet.accounts_payable.latest_reported,1998,1,1952,0,0,0,0,26,1926
financial.balance_sheet.accounts_payable.latest_reported,1998,2,4,0,0,0,0,0,4
financial.balance_sheet.accounts_payable.latest_reported,1998,4,2,0,0,0,0,0,2
financial.balance_sheet.accounts_payable.latest_reported,1999,1,2136,0,0,0,0,25,2111
financial.balance_sheet.accounts_payable.latest_reported,1999,2,6,0,0,0,0,1,5
financial.balance_sheet.accounts_payable.latest_reported,1999,4,3,0,0,0,0,1,2
financial.balance_sheet.accounts_payable.latest_reported,2000,1,2351,0,0,0,0,23,2328
financial.balance_sheet.accounts_payable.latest_reported,2000,2,9,0,0,0,0,5,4
financial.balance_sheet.accounts_payable.latest_reported,2000,4,3,0,0,0,0,2,1
financial.balance_sheet.accounts_payable.latest_reported,2001,1,2671,0,0,0,0,60,2611
financial.balance_sheet.accounts_payable.latest_reported,2001,2,14,0,0,0,0,11,3
financial.balance_sheet.accounts_payable.latest_reported,2001,4,3,0,0,0,0,2,1
financial.balance_sheet.accounts_payable.latest_reported,2002,1,4946,0,0,0,0,220,4726
financial.balance_sheet.accounts_payable.latest_reported,2002,2,24,0,0,0,0,19,5
financial.balance_sheet.accounts_payable.latest_reported,2002,4,8,0,0,0,0,8,0
financial.balance_sheet.accounts_payable.latest_reported,2003,1,5232,0,0,0,0,128,5104
financial.balance_sheet.accounts_payable.latest_reported,2003,2,29,0,0,0,0,24,5
financial.balance_sheet.accounts_payable.latest_reported,2003,3,2,0,0,0,0,2,0
financial.balance_sheet.accounts_payable.latest_reported,2003,4,10,0,0,0,0,7,3
financial.balance_sheet.accounts_payable.latest_reported,2004,1,5648,0,0,0,0,77,5571
financial.balance_sheet.accounts_payable.latest_reported,2004,2,33,0,0,0,0,27,6
financial.balance_sheet.accounts_payable.latest_reported,2004,3,3,0,0,0,0,3,0
financial.balance_sheet.accounts_payable.latest_reported,2004,4,11,0,0,0,0,10,1
financial.balance_sheet.accounts_payable.latest_reported,2005,1,7518,0,0,0,0,104,7414
financial.balance_sheet.accounts_payable.latest_reported,2005,2,68,0,0,0,0,61,7
financial.balance_sheet.accounts_payable.latest_reported,2005,3,10,0,0,0,0,10,0
financial.balance_sheet.accounts_payable.latest_reported,2005,4,20,0,0,0,0,19,1
financial.balance_sheet.accounts_payable.latest_reported,2006,1,9031,0,0,0,0,138,8893
financial.balance_sheet.accounts_payable.latest_reported,2006,2,71,0,0,0,0,67,4
financial.balance_sheet.accounts_payable.latest_reported,2006,3,9,0,0,0,0,9,0
financial.balance_sheet.accounts_payable.latest_reported,2006,4,28,0,0,0,0,28,0
financial.balance_sheet.accounts_payable.latest_reported,2007,1,12166,0,0,0,0,167,11999
financial.balance_sheet.accounts_payable.latest_reported,2007,2,134,4,0,0,0,130,0
financial.balance_sheet.accounts_payable.latest_reported,2007,3,22,0,0,0,0,22,0
financial.balance_sheet.accounts_payable.latest_reported,2007,4,98,0,0,0,0,95,3
financial.balance_sheet.accounts_payable.latest_reported,2008,1,13106,0,0,0,0,168,12938
financial.balance_sheet.accounts_payable.latest_reported,2008,2,146,6,0,0,0,138,2
financial.balance_sheet.accounts_payable.latest_reported,2008,3,25,2,0,0,0,23,0
financial.balance_sheet.accounts_payable.latest_reported,2008,4,161,0,0,0,0,159,2
financial.balance_sheet.accounts_payable.latest_reported,2009,1,10534,0,0,0,0,159,10375
financial.balance_sheet.accounts_payable.latest_reported,2009,2,125,4,0,0,0,116,5
financial.balance_sheet.accounts_payable.latest_reported,2009,3,19,2,0,0,0,17,0
financial.balance_sheet.accounts_payable.latest_reported,2009,4,134,0,0,0,0,134,0
financial.balance_sheet.accounts_payable.latest_reported,2010,1,13659,0,0,0,0,208,13451
financial.balance_sheet.accounts_payable.latest_reported,2010,2,151,12,0,0,0,133,6
financial.balance_sheet.accounts_payable.latest_reported,2010,3,19,6,0,0,0,11,2
financial.balance_sheet.accounts_payable.latest_reported,2010,4,182,0,0,0,0,182,0
financial.balance_sheet.accounts_payable.latest_reported,2011,1,15788,0,0,0,0,209,15579
financial.balance_sheet.accounts_payable.latest_reported,2011,2,156,14,0,0,0,136,6
financial.balance_sheet.accounts_payable.latest_reported,2011,3,23,10,0,0,0,8,5
financial.balance_sheet.accounts_payable.latest_reported,2011,4,170,0,0,0,0,156,14
financial.balance_sheet.accounts_payable.latest_reported,2012,1,19490,0,0,0,0,279,19211
financial.balance_sheet.accounts_payable.latest_reported,2012,2,177,8,0,0,0,162,7
financial.balance_sheet.accounts_payable.latest_reported,2012,3,29,18,0,0,0,4,7
financial.balance_sheet.accounts_payable.latest_reported,2012,4,220,2,0,0,0,204,14
financial.balance_sheet.accounts_payable.latest_reported,2012,7,1,0,0,1,0,0,0
financial.balance_sheet.accounts_payable.latest_reported,2013,1,17719,0,0,0,0,270,17449
financial.balance_sheet.accounts_payable.latest_reported,2013,2,155,10,0,0,0,139,6
financial.balance_sheet.accounts_payable.latest_reported,2013,3,28,16,0,0,0,6,6
financial.balance_sheet.accounts_payable.latest_reported,2013,4,196,4,0,0,0,138,54
financial.balance_sheet.accounts_payable.latest_reported,2013,7,1,0,0,1,0,0,0
financial.balance_sheet.accounts_payable.latest_reported,2014,1,18669,0,0,0,0,256,18413
financial.balance_sheet.accounts_payable.latest_reported,2014,2,160,10,0,0,0,144,6
financial.balance_sheet.accounts_payable.latest_reported,2014,3,28,14,0,0,0,8,6
financial.balance_sheet.accounts_payable.latest_reported,2014,4,189,2,0,0,0,87,100
financial.balance_sheet.accounts_payable.latest_reported,2014,7,2,0,0,2,0,0,0
financial.balance_sheet.accounts_payable.latest_reported,2015,1,16787,0,0,0,0,254,16533
financial.balance_sheet.accounts_payable.latest_reported,2015,2,159,4,0,0,0,152,3
financial.balance_sheet.accounts_payable.latest_reported,2015,3,23,2,0,0,0,18,3
financial.balance_sheet.accounts_payable.latest_reported,2015,4,171,0,0,0,0,171,0
financial.balance_sheet.accounts_payable.latest_reported,2015,7,2,0,0,2,0,0,0
financial.balance_sheet.accounts_payable.latest_reported,2016,1,21094,0,0,0,0,257,20837
financial.balance_sheet.accounts_payable.latest_reported,2016,2,222,6,0,0,0,216,0
financial.balance_sheet.accounts_payable.latest_reported,2016,3,29,0,0,0,0,28,1
financial.balance_sheet.accounts_payable.latest_reported,2016,4,199,0,0,0,0,199,0
financial.balance_sheet.accounts_payable.latest_reported,2016,7,3,0,0,3,0,0,0
financial.balance_sheet.accounts_payable.latest_reported,2017,1,22766,0,0,0,0,206,22560
financial.balance_sheet.accounts_payable.latest_reported,2017,2,236,4,0,0,0,232,0
financial.balance_sheet.accounts_payable.latest_reported,2017,3,31,0,0,0,0,31,0
financial.balance_sheet.accounts_payable.latest_reported,2017,4,215,0,0,0,0,215,0
financial.balance_sheet.accounts_payable.latest_reported,2017,7,3,0,0,3,0,0,0
financial.balance_sheet.accounts_payable.latest_reported,2018,1,26849,6,0,0,0,7191,19652
financial.balance_sheet.accounts_payable.latest_reported,2018,2,283,4,0,0,0,279,0
financial.balance_sheet.accounts_payable.latest_reported,2018,3,40,0,0,0,0,40,0
financial.balance_sheet.accounts_payable.latest_reported,2018,4,270,0,0,0,0,270,0
financial.balance_sheet.accounts_payable.latest_reported,2018,7,2,0,0,2,0,0,0
financial.balance_sheet.accounts_payable.latest_reported,2019,1,24846,74,0,0,0,6694,18078
financial.balance_sheet.accounts_payable.latest_reported,2019,2,253,0,0,0,0,253,0
financial.balance_sheet.accounts_payable.latest_reported,2019,3,31,0,0,0,0,31,0
financial.balance_sheet.accounts_payable.latest_reported,2019,4,243,0,0,0,0,243,0
financial.balance_sheet.accounts_payable.latest_reported,2019,7,4,0,0,4,0,0,0
financial.balance_sheet.accounts_payable.latest_reported,2020,1,27645,92,0,0,0,96,27457
financial.balance_sheet.accounts_payable.latest_reported,2020,2,280,0,0,0,0,280,0
financial.balance_sheet.accounts_payable.latest_reported,2020,3,36,0,0,0,0,36,0
financial.balance_sheet.accounts_payable.latest_reported,2020,4,254,0,0,0,0,254,0
financial.balance_sheet.accounts_payable.latest_reported,2020,7,3,0,0,3,0,0,0
financial.balance_sheet.accounts_payable.latest_reported,2021,1,27375,68,0,0,0,72,27235
financial.balance_sheet.accounts_payable.latest_reported,2021,2,315,18,0,0,0,297,0
financial.balance_sheet.accounts_payable.latest_reported,2021,3,41,0,0,0,0,41,0
financial.balance_sheet.accounts_payable.latest_reported,2021,4,261,2,0,0,0,259,0
financial.balance_sheet.accounts_payable.latest_reported,2021,7,4,0,0,4,0,0,0
financial.balance_sheet.accounts_payable.latest_reported,2022,1,26394,2128,0,0,0,116,24150
financial.balance_sheet.accounts_payable.latest_reported,2022,2,307,122,0,0,0,185,0
financial.balance_sheet.accounts_payable.latest_reported,2022,3,35,14,0,0,0,21,0
financial.balance_sheet.accounts_payable.latest_reported,2022,4,229,6,0,0,0,223,0
financial.balance_sheet.accounts_payable.latest_reported,2022,7,7,0,0,7,0,0,0
financial.balance_sheet.accounts_payable.latest_reported,2023,1,32691,558,0,0,0,87,32046
financial.balance_sheet.accounts_payable.latest_reported,2023,2,335,128,0,0,0,207,0
financial.balance_sheet.accounts_payable.latest_reported,2023,3,37,24,0,0,0,13,0
financial.balance_sheet.accounts_payable.latest_reported,2023,4,278,4,0,0,0,274,0
financial.balance_sheet.accounts_payable.latest_reported,2023,7,8,0,0,8,0,0,0
financial.balance_sheet.accounts_payable.latest_reported,2024,1,21760,1854,0,0,0,42,19864
financial.balance_sheet.accounts_payable.latest_reported,2024,2,260,134,0,0,0,126,0
financial.balance_sheet.accounts_payable.latest_reported,2024,3,29,14,0,0,0,15,0
financial.balance_sheet.accounts_payable.latest_reported,2024,4,186,6,0,0,0,180,0
financial.balance_sheet.accounts_payable.latest_reported,2024,7,8,0,0,8,0,0,0
financial.balance_sheet.accounts_payable.latest_reported,2025,1,22233,2244,0,0,0,55,19934
financial.balance_sheet.accounts_payable.latest_reported,2025,2,257,132,0,0,0,125,0
financial.balance_sheet.accounts_payable.latest_reported,2025,3,31,22,0,0,0,9,0
financial.balance_sheet.accounts_payable.latest_reported,2025,4,182,0,0,0,0,182,0
financial.balance_sheet.accounts_payable.latest_reported,2025,7,13,0,0,13,0,0,0
financial.balance_sheet.accounts_payable.latest_reported,2026,1,10082,3695,0,0,0,13,6374
financial.balance_sheet.accounts_payable.latest_reported,2026,2,116,84,0,0,0,32,0
financial.balance_sheet.accounts_payable.latest_reported,2026,3,13,10,0,0,0,3,0
financial.balance_sheet.accounts_payable.latest_reported,2026,4,86,32,0,0,0,54,0
financial.balance_sheet.accounts_payable.latest_reported,2026,7,6,0,0,6,0,0,0
financial.balance_sheet.accounts_receivable.latest_reported,1989,1,9,0,0,0,0,6,3
financial.balance_sheet.accounts_receivable.latest_reported,1989,2,1,0,0,0,0,1,0
financial.balance_sheet.accounts_receivable.latest_reported,1990,1,94,0,0,0,0,72,22
financial.balance_sheet.accounts_receivable.latest_reported,1990,2,1,0,0,0,0,1,0
financial.balance_sheet.accounts_receivable.latest_reported,1991,1,140,0,0,0,0,101,39
financial.balance_sheet.accounts_receivable.latest_reported,1991,2,1,0,0,0,0,1,0
financial.balance_sheet.accounts_receivable.latest_reported,1992,1,293,0,0,0,0,132,161
financial.balance_sheet.accounts_receivable.latest_reported,1992,2,1,0,0,0,0,1,0
financial.balance_sheet.accounts_receivable.latest_reported,1993,1,638,0,0,0,0,202,436
financial.balance_sheet.accounts_receivable.latest_reported,1993,2,1,0,0,0,0,1,0
financial.balance_sheet.accounts_receivable.latest_reported,1993,4,2,0,0,0,0,1,1
financial.balance_sheet.accounts_receivable.latest_reported,1994,1,1013,0,0,0,0,596,417
financial.balance_sheet.accounts_receivable.latest_reported,1994,2,2,0,0,0,0,0,2
financial.balance_sheet.accounts_receivable.latest_reported,1994,4,2,0,0,0,0,1,1
financial.balance_sheet.accounts_receivable.latest_reported,1995,1,1159,0,0,0,0,398,761
financial.balance_sheet.accounts_receivable.latest_reported,1995,2,2,0,0,0,0,0,2
financial.balance_sheet.accounts_receivable.latest_reported,1995,4,2,0,0,0,0,1,1
financial.balance_sheet.accounts_receivable.latest_reported,1996,1,1434,0,0,0,0,523,911
financial.balance_sheet.accounts_receivable.latest_reported,1996,2,3,0,0,0,0,1,2
financial.balance_sheet.accounts_receivable.latest_reported,1996,4,2,0,0,0,0,1,1
financial.balance_sheet.accounts_receivable.latest_reported,1997,1,1812,0,0,0,0,864,948
financial.balance_sheet.accounts_receivable.latest_reported,1997,2,4,0,0,0,0,2,2
financial.balance_sheet.accounts_receivable.latest_reported,1997,4,2,0,0,0,0,1,1
financial.balance_sheet.accounts_receivable.latest_reported,1998,1,1952,0,0,0,0,219,1733
financial.balance_sheet.accounts_receivable.latest_reported,1998,2,4,0,0,0,0,2,2
financial.balance_sheet.accounts_receivable.latest_reported,1998,4,2,0,0,0,0,0,2
financial.balance_sheet.accounts_receivable.latest_reported,1999,1,2136,0,0,0,0,2050,86
financial.balance_sheet.accounts_receivable.latest_reported,1999,2,6,0,0,0,0,5,1
financial.balance_sheet.accounts_receivable.latest_reported,1999,4,3,0,0,0,0,2,1
financial.balance_sheet.accounts_receivable.latest_reported,2000,1,2351,0,0,0,0,2199,152
financial.balance_sheet.accounts_receivable.latest_reported,2000,2,9,0,0,0,0,9,0
financial.balance_sheet.accounts_receivable.latest_reported,2000,4,3,0,0,0,0,3,0
financial.balance_sheet.accounts_receivable.latest_reported,2001,1,2671,0,0,0,0,93,2578
financial.balance_sheet.accounts_receivable.latest_reported,2001,2,14,0,0,0,0,11,3
financial.balance_sheet.accounts_receivable.latest_reported,2001,4,3,0,0,0,0,2,1
financial.balance_sheet.accounts_receivable.latest_reported,2002,1,4946,0,0,0,0,247,4699
financial.balance_sheet.accounts_receivable.latest_reported,2002,2,24,0,0,0,0,21,3
financial.balance_sheet.accounts_receivable.latest_reported,2002,4,8,0,0,0,0,6,2
financial.balance_sheet.accounts_receivable.latest_reported,2003,1,5232,0,0,0,0,184,5048
financial.balance_sheet.accounts_receivable.latest_reported,2003,2,29,0,0,0,0,27,2
financial.balance_sheet.accounts_receivable.latest_reported,2003,3,2,0,0,0,0,1,1
financial.balance_sheet.accounts_receivable.latest_reported,2003,4,10,0,0,0,0,6,4
financial.balance_sheet.accounts_receivable.latest_reported,2004,1,5648,0,0,0,0,139,5509
financial.balance_sheet.accounts_receivable.latest_reported,2004,2,33,0,0,0,0,29,4
financial.balance_sheet.accounts_receivable.latest_reported,2004,3,3,0,0,0,0,2,1
financial.balance_sheet.accounts_receivable.latest_reported,2004,4,11,0,0,0,0,11,0
financial.balance_sheet.accounts_receivable.latest_reported,2005,1,7518,0,0,0,0,175,7343
financial.balance_sheet.accounts_receivable.latest_reported,2005,2,68,0,0,0,0,59,9
financial.balance_sheet.accounts_receivable.latest_reported,2005,3,10,0,0,0,0,8,2
financial.balance_sheet.accounts_receivable.latest_reported,2005,4,20,0,0,0,0,20,0
financial.balance_sheet.accounts_receivable.latest_reported,2006,1,9031,0,0,0,0,207,8824
financial.balance_sheet.accounts_receivable.latest_reported,2006,2,71,0,0,0,0,62,9
financial.balance_sheet.accounts_receivable.latest_reported,2006,3,9,0,0,0,0,7,2
financial.balance_sheet.accounts_receivable.latest_reported,2006,4,28,0,0,0,0,28,0
financial.balance_sheet.accounts_receivable.latest_reported,2007,1,12166,0,0,0,0,248,11918
financial.balance_sheet.accounts_receivable.latest_reported,2007,2,134,4,0,0,0,124,6
financial.balance_sheet.accounts_receivable.latest_reported,2007,3,22,0,0,0,0,21,1
financial.balance_sheet.accounts_receivable.latest_reported,2007,4,98,0,0,0,0,93,5
financial.balance_sheet.accounts_receivable.latest_reported,2008,1,13106,0,0,0,0,270,12836
financial.balance_sheet.accounts_receivable.latest_reported,2008,2,146,6,0,0,0,137,3
financial.balance_sheet.accounts_receivable.latest_reported,2008,3,25,2,0,0,0,23,0
financial.balance_sheet.accounts_receivable.latest_reported,2008,4,161,0,0,0,0,159,2
financial.balance_sheet.accounts_receivable.latest_reported,2009,1,10534,0,0,0,0,244,10290
financial.balance_sheet.accounts_receivable.latest_reported,2009,2,125,4,0,0,0,119,2
financial.balance_sheet.accounts_receivable.latest_reported,2009,3,19,2,0,0,0,17,0
financial.balance_sheet.accounts_receivable.latest_reported,2009,4,134,0,0,0,0,134,0
financial.balance_sheet.accounts_receivable.latest_reported,2010,1,13659,0,0,0,0,324,13335
financial.balance_sheet.accounts_receivable.latest_reported,2010,2,151,12,0,0,0,137,2
financial.balance_sheet.accounts_receivable.latest_reported,2010,3,19,6,0,0,0,11,2
financial.balance_sheet.accounts_receivable.latest_reported,2010,4,182,0,0,0,0,180,2
financial.balance_sheet.accounts_receivable.latest_reported,2011,1,15788,0,0,0,0,341,15447
financial.balance_sheet.accounts_receivable.latest_reported,2011,2,156,14,0,0,0,141,1
financial.balance_sheet.accounts_receivable.latest_reported,2011,3,23,10,0,0,0,9,4
financial.balance_sheet.accounts_receivable.latest_reported,2011,4,170,0,0,0,0,154,16
financial.balance_sheet.accounts_receivable.latest_reported,2012,1,19490,0,0,0,0,397,19093
financial.balance_sheet.accounts_receivable.latest_reported,2012,2,177,8,0,0,0,169,0
financial.balance_sheet.accounts_receivable.latest_reported,2012,3,29,18,0,0,0,4,7
financial.balance_sheet.accounts_receivable.latest_reported,2012,4,220,2,0,0,0,202,16
