"status","group","dsl_identifier","label","source_endpoint","source_column","report_period_selection","proposed_field_id","note"
"现有","现有字段","open","复权开盘价","daily","open","","","交易日；结合 adj_factor 得到复权值"
"现有","现有字段","high","复权最高价","daily","high","","","交易日；结合 adj_factor 得到复权值"
"现有","现有字段","low","复权最低价","daily","low","","","交易日；结合 adj_factor 得到复权值"
"现有","现有字段","close","复权收盘价","daily","close","","","交易日；结合 adj_factor 得到复权值，保持原有含义"
"现有","现有字段","volume","成交股数","daily","vol","","","交易日；已规范为股"
"现有","现有字段","amount","成交金额","daily","amount","","","交易日；已规范为人民币元"
"现有","现有字段","revenue","营业总收入","income","total_revenue","","","最新可见年报；不是营业收入列，也不是 TTM"
"现有","现有字段","net_profit","归母净利润","income","n_income_attr_p","","","最新可见年报；不是 TTM"
"现有","现有字段","operating_cash_flow","经营现金流净额","cashflow","n_cashflow_act","","","最新可见年报；不是 TTM"
"现有","现有字段","assets","总资产","balancesheet","total_assets","","","最新可见季度或年度报告"
"现有","现有字段","liabilities","总负债","balancesheet","total_liab","","","最新可见季度或年度报告"
"现有","现有字段","equity","归母股东权益","balancesheet","total_hldr_eqy_exc_min_int","","","最新可见季度或年度报告；不含少数股东权益"
"拟新增","每日指标","close_raw","未复权收盘价","daily_basic","close","","","元/股。已有行情也保存原始价，实施时复用 price.close.raw 身份并核对来源一致性。"
"拟新增","每日指标","total_mv","总市值","daily_basic","total_mv","","","来源万元；DSL 规范为人民币元。"
"拟新增","每日指标","circ_mv","流通市值","daily_basic","circ_mv","","","来源万元；DSL 规范为人民币元。"
"拟新增","每日指标","total_share","总股本","daily_basic","total_share","","","来源万股；DSL 规范为股。"
"拟新增","每日指标","float_share","无限售流通股本","daily_basic","float_share","","","来源万股；DSL 规范为股。"
"拟新增","每日指标","free_share","自由流通股本","daily_basic","free_share","","","来源万股；DSL 规范为股；不同于 float_share。"
"拟新增","每日指标","turnover_rate","无限售流通股换手率","daily_basic","turnover_rate","","","分母为无限售流通股数；比例缩放结合实际量/股本样本锁定。"
"拟新增","每日指标","turnover_rate_f","自由流通股换手率","daily_basic","turnover_rate_f","","","分母为自由流通股数；不与 turnover_rate 合并。"
"拟新增","每日指标","volume_ratio","供应商量比","daily_basic","volume_ratio","","","保留供应商值；文档未明确完整均值窗口。"
"拟新增","每日指标","pe","供应商年度市盈率","daily_basic","pe","","","倍数；亏损时来源可为空。"
"拟新增","每日指标","pe_ttm","供应商 TTM 市盈率","daily_basic","pe_ttm","","","倍数；不等于已提供独立的 net_profit_ttm。"
"拟新增","每日指标","pb","供应商市净率","daily_basic","pb","","","倍数；供应商净资产分母扣除其他权益工具。"
"拟新增","每日指标","ps","供应商年度市销率","daily_basic","ps","","","倍数；分母为最新年度营业收入。"
"拟新增","每日指标","ps_ttm","供应商 TTM 市销率","daily_basic","ps_ttm","","","倍数；保留供应商定义。"
"拟新增","每日指标","dv_ratio","供应商年度股息率","daily_basic","dv_ratio","","","来源百分数，DSL 使用小数比例（15% 为 0.15）；上一年发生除息的派现口径。"
"拟新增","每日指标","dv_ttm","供应商滚动股息率","daily_basic","dv_ttm","","","来源百分数，DSL 使用小数比例（15% 为 0.15）；除息日和分红报告期均有供应商近 12 个月约束。"
"拟新增","每股指标","eps","基本每股收益","fina_indicator","eps","","",""
"拟新增","每股指标","dt_eps","稀释每股收益","fina_indicator","dt_eps","","","与期末摊薄每股收益 diluted2_eps 分开；不自行视为相同口径。"
"拟新增","每股指标","total_revenue_ps","每股营业总收入","fina_indicator","total_revenue_ps","","","营业总收入与 revenue_ps 的营业收入是不同源口径。"
"拟新增","每股指标","revenue_ps","每股营业收入","fina_indicator","revenue_ps","","","不能与 total_revenue_ps 自动互换。"
"拟新增","每股指标","capital_rese_ps","每股资本公积","fina_indicator","capital_rese_ps","","",""
"拟新增","每股指标","surplus_rese_ps","每股盈余公积","fina_indicator","surplus_rese_ps","","",""
"拟新增","每股指标","undist_profit_ps","每股未分配利润","fina_indicator","undist_profit_ps","","",""
"拟新增","每股指标","diluted2_eps","期末摊薄每股收益","fina_indicator","diluted2_eps","","","源说明限定期末摊薄，不是 dt_eps 的稀释口径别名。"
"拟新增","每股指标","bps","每股净资产","fina_indicator","bps","","",""
"拟新增","每股指标","ocfps","每股经营现金净流量","fina_indicator","ocfps","","",""
